,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
906,CS 510: Advanced Information Retrieval,342,3.85,28.7,47.7,11.1,6.7,4.4,0.9,0.3,0.3,0.0,0.0,0.0,0.0,0.0
907,CS 511: Advanced Data Management,91,3.82,8.8,68.1,9.9,2.2,5.5,4.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0
908,CS 512: Data Mining Principles,272,3.42,8.8,30.1,20.6,12.9,12.5,5.9,1.8,1.8,2.2,0.0,2.6,0.0,0.7
909,CS 519: Scientific Visualization,193,3.69,13.0,50.3,17.1,6.7,6.7,2.6,0.0,1.6,0.0,0.0,0.5,0.0,1.6
910,CS 521: Advanced Topics in Programming Systems,21,3.81,33.3,38.1,9.5,14.3,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911,CS 523: Advanced Operating Systems,70,3.77,8.6,50.0,30.0,8.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
912,CS 525: Advanced Distributed Systems,115,3.61,9.6,25.2,27.0,27.0,9.6,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913,CS 527: Topics in Software Engineering,97,3.86,20.6,56.7,13.4,3.1,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914,CS 533: Parallel Computer Architecture,93,3.67,15.1,47.3,6.5,10.8,15.1,4.3,0.0,0.0,0.0,0.0,1.1,0.0,0.0
915,CS 534: Advanced Topics in Computer Architecture,21,3.65,23.8,23.8,14.3,23.8,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
